CONTRATO;CODIGO;DESEMBOLSO;SALDO_REAL;MONTO_CUOTA;NUMERO_CUOTAS;CUOTAS_PAGADAS;CUOTAS_PENDIENTES;TASA;FECHA_ALTA;FECHA_VENCIMIENTO;COD_PRODUCTO
711814;269216224954;7000;3992;219;42;21;21;17;15/05/2009;17/11/2012;P001
697816;769228731191;39000;37775;521;144;11;133;12,9;18/03/2010;30/03/2022;H001
699600;769230739009;169760;164363;1770;180;12;168;9,75;17/02/2010;17/02/2025;H001
703208;169223105675;15300;10868;556;35;12;23;17,9;18/01/2010;05/01/2013;P001
706645;669100601171;56000;41178;1272;60;20;40;13,5;04/06/2009;15/06/2014;H001
706760;669100601171;55000;50848;5036;12;1;11;19;05/01/2011;05/01/2012;C001
703871;469218498798;2000;536;184;12;9;3;20,15;07/05/2010;17/05/2011;P001
714016;769207729849;29145;11754;609;60;39;21;9,5;21/11/2007;30/11/2012;V001
699611;69219045125;7000;2767;412;12;6;6;14,25;10/08/2010;10/08/2011;P001
703542;469217419979;10000;1298;661;17;15;2;16,99;13/10/2009;05/04/2011;P001
704344;669217619699;4500;3857;237;23;4;19;20,9;21/09/2010;03/09/2012;P001
706073;569217582562;6000;5361;257;30;4;26;21,9;30/10/2010;30/04/2013;P001
707603;69235042922;4000;3713;211;23;2;21;21,9;19/11/2010;02/11/2012;P001
708664;69209014664;56500;54517;1251;59;3;56;11,5;26/10/2010;05/10/2015;P001
702079;69212078668;132000;51962;4691;35;23;12;16;27/02/2009;15/02/2012;C001
707198;69157002202;7000;749;291;35;8;27;30;26/03/2005;10/03/2008;P001
704016;769207708538;56840;43396;649;180;65;115;11,5;21/09/2005;30/09/2020;H002
704017;769207708538;14210;11185;999;30;10;20;11,5;21/09/2005;30/09/2020;H002
707612;869230863283;3372;3372;130;35;0;35;21,9;14/02/2011;10/02/2014;P001
707658;169112152202;7000;4084;346;24;11;13;17,9;10/03/2010;28/03/2012;P001
708900;769211725655;17500;10919;864;24;11;13;17,9;22/03/2010;22/03/2012;P001
712634;369041339439;87000;31343;1197;119;89;30;11,25;15/08/2003;05/08/2013;H001
702471;969231998088;50000;50000;977;59;0;59;12,9;14/02/2011;02/02/2016;P001
711669;969218973283;7000;3950;201;48;25;23;17;24/12/2008;17/01/2013;P001
698307;169227133003;4000;2089;208;23;12;11;19,9;25/01/2010;10/01/2012;P001
701925;169222166396;5700;2429;208;36;23;13;19,9;25/03/2009;30/03/2012;P001
703312;169112152702;15000;9136;513;48;25;23;30;07/01/2009;30/01/2013;P001
702863;69209058908;3150;1117;290;12;8;4;20,15;04/06/2010;04/06/2011;P001
697782;69127053873;279360;240527;2797;180;45;135;9;15/05/2007;24/05/2022;H001
697806;69127053873;88000;56856;2141;60;28;32;17;28/10/2008;28/10/2013;P001
702826;169137112162;5700;4456;574;12;8;4;42,58;26/11/1997;30/11/1998;P001
711517;169214111781;6500;2964;186;48;30;18;17;24/07/2008;17/08/2012;P001
712572;169214192492;58000;37764;525;179;93;86;10;23/04/2003;05/04/2018;H001
704802;669236607707;18000;18000;710;35;0;35;23,9;17/02/2011;10/02/2014;P001
709212;269212265475;116000;112010;3356;47;3;44;16,5;07/10/2010;06/10/2014;P001
708520;669219622932;58406;42427;1449;60;22;38;18;23/04/2009;23/04/2014;V001
701112;369209361611;14000;9948;509;35;12;23;18;20/01/2010;15/01/2013;P001
711021;669226643823;10000;7889;502;24;6;18;18,9;11/08/2010;31/08/2012;P001
702804;769233756806;1000;1000;101;11;0;11;22,9;24/01/2011;05/01/2012;P001
708915;969046979109;3000;3000;208;17;0;17;21,9;11/02/2011;10/08/2012;P001
698149;269217200300;87000;86097;1019;180;5;175;12;23/09/2010;23/09/2025;H001
702422;269234269319;32818;32818;1023;48;0;48;10,5;15/09/2010;15/09/2016;P001
702975;669123651101;15000;14758;357;60;2;58;15,5;06/12/2010;22/12/2015;P001
700366;569236534724;162400;162400;1660;179;0;179;9,25;16/02/2011;05/02/2026;H001
705080;469218487837;2500;1767;126;24;8;16;20,15;17/06/2010;30/06/2012;P001
713139;469207463253;45240;29215;549;139;63;76;12,75;21/11/2005;30/06/2017;H001
711155;969004993073;23018;21737;414;59;4;55;8,99;29/09/2010;21/09/2015;V001
713007;469015447807;74240;59821;883;179;67;112;12,25;20/06/2005;03/06/2020;H001
699840;369200352312;2700;2651;176;23;4;19;53;29/09/1999;16/09/2001;P001
697756;169229129769;260595;258580;2389;240;6;234;9,5;20/08/2010;02/09/2030;H001
698759;969073912502;55000;37512;994;60;22;38;10;30/04/2009;30/04/2014;P001
703496;969217963313;76592;61782;826;126;36;90;9,75;29/02/2008;31/08/2018;H001
705620;269216242462;63000;60843;795;179;17;162;13,5;27/08/2009;02/08/2024;H001
707666;569084556516;10350;8924;377;35;6;29;18,15;24/07/2010;05/07/2013;P001
713866;69222078878;7300;5807;261;36;9;27;18,15;31/05/2010;30/05/2013;P001
699032;969048924294;15100;1242;630;23;21;2;13;27/04/2009;15/04/2011;P001
711730;969228999919;5000;2105;177;36;23;13;17;27/02/2009;17/03/2012;P001
698543;969139984184;1500;1500;144;12;4;8;30;21/03/2005;30/03/2006;P001
713898;969218969739;20100;20100;527;59;0;59;19,9;25/02/2011;15/02/2016;P001
698191;169020163623;105000;100626;1466;120;9;111;11,75;06/05/2010;06/05/2020;H001
708783;169226183283;4000;1497;151;36;29;7;22,9;04/09/2008;04/09/2011;P001
708019;669224672082;3500;3283;131;36;3;33;21,9;03/11/2010;04/11/2013;P001
710636;369206390070;27300;24878;621;59;7;52;12,99;28/06/2010;10/06/2015;V001
704217;369216359689;8000;3622;288;36;25;11;19;25/07/2007;29/07/2010;P001
704395;569204586266;22000;21654;784;36;1;35;17,5;15/01/2011;30/01/2014;P001
697309;369222372542;5000;5000;345;17;0;17;21,9;25/02/2011;20/08/2012;P001
708210;469205450330;44695;21682;1127;48;27;21;10;10/11/2008;30/11/2012;P001
708272;469205450330;25000;24847;573;59;0;59;13;12/01/2011;04/01/2016;P001
699311;769208756556;98136;76006;1326;120;41;79;10,9;05/09/2007;30/09/2017;H001
699335;769208756556;70000;61311;1655;59;11;48;14,9;02/03/2010;01/03/2015;P001
699357;769208756556;70000;70000;1689;59;0;59;15,5;22/02/2011;15/02/2016;P001
701476;69209075415;60088;50211;624;240;74;166;11,5;17/12/2004;31/12/2024;H002
701477;69209075415;15022;12679;962;40;12;28;11,5;17/12/2004;31/12/2024;H002
705456;569216582332;6108;798;165;48;44;4;13,9;18/06/2007;30/06/2011;P001
713770;669214622432;17100;10654;604;35;15;20;15,5;20/10/2009;02/10/2012;P001
697546;669219618268;16000;7143;562;36;23;13;16,9;25/03/2009;30/03/2012;P001
705095;569200591871;49458;46392;1038;60;5;55;9,49;08/09/2010;30/09/2015;V001
703696;969214913613;120900;119270;1643;120;3;117;11;26/11/2010;30/11/2020;H001
707640;269205235595;20000;13518;515;60;27;33;20;07/11/2008;30/11/2013;P001
700412;69071011981;24200;17720;807;36;11;25;12,75;19/03/2010;30/03/2013;P001
707307;869204828938;15000;11616;787;23;6;17;21;08/07/2010;03/07/2012;P001
706188;269224255185;20000;4524;2332;5;3;2;28;02/11/2010;04/04/2011;C002
707924;969215940450;8000;7685;192;60;4;56;16;13/10/2010;30/10/2015;P001
710119;969224920550;800;362;25;48;32;16;22,9;13/06/2008;30/06/2012;P001
710330;569210580540;32037;21694;632;60;25;35;13,99;21/01/2009;30/01/2014;V001
702488;669019630660;26000;8875;747;47;34;13;16,9;17/03/2008;10/03/2012;P001
704578;169229171031;51695;46734;1062;60;7;53;8,75;30/07/2010;30/07/2015;V001
711192;369014355075;16356;15086;773;23;2;21;8,25;18/11/2010;05/11/2012;V001
713796;769126740580;20000;13157;677;36;14;22;13,99;11/12/2009;17/12/2012;P001
703717;969229985445;11000;8254;401;36;10;26;19,9;05/04/2010;05/04/2013;P001
708540;669219622932;49828;41425;1388;47;10;37;14,9;31/03/2010;15/03/2014;V001
710600;69220048608;11996;7797;557;24;9;15;10,99;11/05/2010;11/05/2012;V001
711343;269109299469;499;397;31;18;7;11;15,9;16/10/2001;30/04/2003;P001
701313;169215195335;18000;13690;325;60;17;43;10;07/09/2009;30/09/2014;P001
702747;569217574264;25000;25000;25585;1;0;1;32;16/11/2010;30/05/2011;C002
704042;569224510540;90000;56448;3353;35;16;19;20;22/09/2009;22/09/2012;C001
711299;169138138768;17806;17806;493;35;0;35;8,49;18/02/2011;05/02/2014;V001
705895;369208315495;2000;1044;90;24;17;7;25;06/08/2009;06/08/2011;P001
710495;769230779759;37347;32677;912;58;13;45;16;18/11/2009;04/11/2014;V001
712155;269218209789;7000;5433;200;48;14;34;17;02/12/2009;17/12/2013;P001
713544;969214948088;232000;211387;2092;239;49;190;9,25;29/12/2006;05/12/2026;H001
697899;869125893603;203290;200004;2034;180;6;174;8,99;09/08/2010;11/08/2025;H001
711116;769037770140;4507;2572;99;60;34;26;11,9;09/12/2002;30/12/2007;P001
708546;669231676066;6000;4599;278;26;7;19;18,15;06/07/2010;15/09/2012;P001
713784;469090468958;21700;14126;758;35;14;21;13,99;11/11/2009;02/11/2012;P001
699387;669006671021;435000;168203;3860;62;9;53;9,25;31/05/2010;31/07/2015;H001
700290;669062646116;4000;3609;260;18;1;17;21,9;14/01/2011;16/07/2012;P001
703307;969227969409;45139;28832;910;59;26;33;13,99;12/11/2008;03/11/2013;V001
703648;69213075585;30479;7473;965;36;30;6;8,9;08/08/2008;18/08/2011;V001
712855;669200654864;73402;57510;785;204;73;131;11,5;27/10/2004;29/10/2021;H002
712856;669200654864;17980;14108;1206;34;12;22;11,5;27/10/2004;29/10/2021;H002
713802;569223525095;2029;1546;123;23;11;12;41;09/12/2009;01/12/2011;P001
701924;669201613403;162435;157595;1712;240;24;216;11,75;09/02/2009;22/02/2029;H001
703679;869201847417;21000;18173;784;35;7;28;20,15;25/06/2010;21/06/2013;P001
705862;369232395165;150000;129481;32274;6;1;5;16;27/04/2010;27/04/2013;C001
705879;369232395165;60300;60300;61759;1;0;1;32;03/02/2011;31/08/2011;C001
709951;969217940300;23000;21945;791;48;4;44;30;25/10/2010;30/10/2014;P001
711800;269216225085;7000;4009;220;42;21;21;17;05/05/2009;17/11/2012;P001
700055;69219060990;125850;112612;1402;180;40;140;11;31/10/2007;31/10/2022;H001
699582;169225110320;5000;2953;322;18;11;7;20,9;30/09/2008;30/03/2010;P001
702246;769201735985;324800;199126;4156;120;60;60;9,5;10/02/2006;15/02/2016;H001
702261;769201735985;87000;27779;2020;59;44;15;14;24/05/2007;15/05/2012;P001
702272;769201735985;16000;3873;461;48;39;9;18;02/11/2007;05/11/2011;P001
698677;969206942602;10000;7803;577;17;5;12;18,9;28/08/2010;27/02/2012;P001
712409;469201424164;83520;67544;920;240;107;133;12,5;13/03/2002;13/03/2022;H001
701913;969219992992;62379;34974;1402;60;31;29;12,99;11/07/2008;11/07/2013;V001
701048;469201424164;35500;27509;1082;60;23;37;30;31/03/2009;31/03/2014;P001
707003;869088841611;13600;8241;500;35;17;18;18,9;12/09/2009;01/09/2012;P001
712466;169207139739;64728;38071;739;180;100;80;11,5;03/10/2002;31/10/2017;H002
712467;169207139739;16182;9935;1144;30;16;14;11,5;03/10/2002;31/10/2017;H002
713519;269054237597;87000;47615;904;120;50;70;10,5;06/12/2006;11/12/2016;H001
708966;869228845635;24763;18163;531;48;15;33;9,45;16/11/2009;30/11/2013;V001
713657;369227309439;550;271;21;36;21;15;22,9;11/05/2009;30/05/2012;P001
707714;169033161221;25000;8481;528;60;44;16;18;06/06/2007;22/06/2012;P001
709887;269140204204;188790;170630;1574;235;47;188;8;30/03/2007;30/10/2026;P001
713571;169120148568;68310;49658;927;120;49;71;11;29/01/2007;30/01/2017;H001
699738;169120148568;36212;22085;827;57;26;31;11,9;12/09/2008;30/09/2013;P001
702350;669221644964;16500;10305;586;35;15;20;15,99;26/10/2009;02/10/2012;P001
707866;769225708908;71125;59158;993;120;31;89;11,75;07/07/2008;15/07/2018;H001
707889;969211901971;15000;10655;545;35;12;23;17,9;06/01/2010;05/01/2013;P001
711450;269225233873;5000;1716;145;48;35;13;18;28/02/2008;17/03/2012;P001
702328;969226917627;94050;37782;3104;36;23;13;12;10/03/2009;10/03/2012;H001
712985;369216348608;69600;36273;962;120;69;51;11,5;26/05/2005;29/05/2015;H002
712986;369216348608;17400;9524;1480;20;11;9;11,5;26/05/2005;29/05/2015;H002
705069;669228693923;30247;26877;633;59;8;51;8,99;24/05/2010;05/05/2015;V001
704280;69207076946;14000;7135;504;36;20;16;18,9;06/06/2009;30/06/2012;P001
706343;269218249159;14500;10747;540;35;16;19;20;29/12/2006;04/12/2009;P001
706027;569152580630;173000;169431;1927;180;9;171;11;03/05/2010;03/05/2025;H001
711522;169216162782;7000;3190;200;48;30;18;17;26/07/2008;17/08/2012;P001
699567;269220268088;78300;69542;929;180;44;136;12,25;22/06/2007;30/06/2022;H001
706888;369134333723;196000;196890;2203;179;1;178;11;10/12/2010;02/12/2025;H001
706232;569215509729;151363;147625;2054;119;7;112;10,75;07/07/2010;01/07/2020;H001
707527;569202521761;12000;8038;320;60;28;32;21,9;29/10/2008;30/10/2013;P001
712539;469070431391;44080;33942;458;240;96;144;11,5;26/02/2003;28/02/2023;H002
712540;469070431391;11020;8482;704;40;16;24;11,5;26/02/2003;28/02/2023;H002
698557;269219217757;2600;566;100;35;30;5;22,9;14/08/2008;01/08/2011;P001
698145;769222792362;12000;10386;382;35;6;29;19,9;08/07/2010;05/07/2013;P001
699142;369207320650;3500;1763;176;24;13;11;19,9;30/01/2010;30/01/2012;P001
