CODIGO;CTA_AHORRO;SALDO_AHORRO;CTA_PLAZO;SALDO_PLAZO;CTA_FONDO;SALDO_FONDO;CTA_CTS;SALDO_CTS;CTA_PRESTAMO;SALDO_PRESTAMO;CTA_HIPOTECARIO;SALDO_HIPOTECARIO;CTA_TARJETA;SALDO_TARJETA
669235665995;0;0;0;0;0;0;1;31;0;0;0;0;0;0
669235666246;0;0;0;0;0;0;1;116;0;0;0;0;0;0
669235667527;0;0;0;0;0;0;0;0;0;0;0;0;1;1000
669235668928;0;0;0;0;0;0;1;469;0;0;0;0;0;0
669235670090;1;197;0;0;0;0;0;0;0;0;0;0;0;0
669235670530;0;0;0;0;0;0;1;8;0;0;0;0;0;0
669235653843;1;39;0;0;0;0;1;0;0;0;0;0;0;0
669235654434;0;0;0;0;0;0;1;233;0;0;0;0;0;0
669235654764;1;16;0;0;0;0;0;0;1;24120;0;0;0;0
269235262092;1;7;0;0;0;0;0;0;0;0;0;0;0;0
269235262332;2;74;0;0;0;0;1;54;0;0;0;0;0;0
269235244954;1;36;1;12495;0;0;0;0;0;0;0;0;1;0
269235245225;1;436;0;0;0;0;0;0;0;0;0;0;0;0
269235245385;1;0;0;0;0;0;0;0;0;0;0;0;0;0
269235246156;1;16;0;0;0;0;1;71;0;0;0;0;0;0
269235246326;1;0;0;0;0;0;0;0;0;0;0;0;0;0
269235247877;1;0;0;0;0;0;0;0;0;0;0;0;0;0
269235248858;1;6;0;0;0;0;2;623;0;0;0;0;0;0
269235249979;1;14;0;0;0;0;0;0;0;0;0;0;0;0
269235250000;1;11;0;0;0;0;0;0;0;0;0;0;0;0
269235251511;1;0;0;0;0;0;0;0;0;0;0;0;0;0
269235251841;1;112;0;0;0;0;0;0;0;0;0;0;0;0
269235252072;1;0;0;0;0;0;0;0;0;0;0;0;0;0
269235252882;1;0;0;0;0;0;0;0;0;0;0;0;0;0
269235229909;1;0;0;0;0;0;1;12;0;0;0;0;0;0
269235231281;1;3;0;0;0;0;0;0;0;0;0;0;0;0
269235232592;1;0;0;0;0;0;0;0;0;0;0;0;0;0
269235233943;0;0;0;0;0;0;1;147;0;0;0;0;0;0
269235240670;1;1350;0;0;0;0;0;0;1;14675;0;0;0;0
269235242492;1;0;0;0;0;0;0;0;0;0;0;0;0;0
269235220180;1;18;0;0;0;0;0;0;0;0;0;0;0;0
269235220590;1;20;0;0;0;0;1;137;0;0;0;0;0;0
269235221281;1;2236;0;0;0;0;0;0;0;0;0;0;0;0
269235222462;1;45;0;0;0;0;0;0;0;0;0;0;0;0
269235224784;1;47;0;0;0;0;0;0;0;0;0;0;1;0
269235224954;1;6;0;0;0;0;0;0;0;0;0;0;0;0
269235225605;1;0;0;0;0;0;0;0;0;0;0;0;0;0
269235227717;1;2;0;0;0;0;1;46;0;0;0;0;0;0
269235213803;1;0;0;0;0;0;0;0;0;0;0;0;0;0
269235214524;1;1148;0;0;0;0;0;0;0;0;0;0;0;0
269235215605;1;280;0;0;0;0;1;293;0;0;0;0;0;0
269235216176;1;2;0;0;0;0;0;0;0;0;0;0;0;0
269235216716;1;268;0;0;0;0;0;0;0;0;0;0;0;0
269235219499;1;70;0;0;0;0;0;0;1;1408;0;0;0;0
